[INFO] 2016-12-11 16:49:50,979  New domain was found by BingPlugin: alphacup.ava.garena.com
[INFO] 2016-12-11 16:49:50,980  New domain was found by BingPlugin: lunar.ava.garena.com
[INFO] 2016-12-11 16:49:50,980  New domain was found by BingPlugin: weekendcup.lol.garena.com
[INFO] 2016-12-11 16:49:50,980  New domain was found by BingPlugin: gpl.garena.com
[INFO] 2016-12-11 16:49:50,982  New domain was found by BingPlugin: login813.ava.garena.com
[INFO] 2016-12-11 16:49:50,983  New domain was found by BingPlugin: forum.hon.garena.com
[INFO] 2016-12-11 16:49:50,983  New domain was found by BingPlugin: championship.ava.garena.com
[INFO] 2016-12-11 16:49:50,984  New domain was found by BingPlugin: coupon.fo3.garena.com
[INFO] 2016-12-11 16:49:50,984  New domain was found by BingPlugin: luckybox.fo3.garena.com
[INFO] 2016-12-11 16:49:50,986  New domain was found by BingPlugin: thunderstrike.garena.com
[INFO] 2016-12-11 16:49:50,986  New domain was found by BingPlugin: corporate.garena.com
[INFO] 2016-12-11 16:49:50,986  New domain was found by BingPlugin: shop.pb.garena.com
[INFO] 2016-12-11 16:49:50,987  New domain was found by BingPlugin: redeem.pb.garena.com
[INFO] 2016-12-11 16:49:50,989  New domain was found by BingPlugin: honredeem.garena.com
[INFO] 2016-12-11 16:49:50,990  New domain was found by BingPlugin: sgcl.lol.garena.com
[INFO] 2016-12-11 16:49:50,990  New domain was found by BingPlugin: mission.pb.garena.com
[INFO] 2016-12-11 16:49:50,990  New domain was found by BingPlugin: mobile.garena.com
[INFO] 2016-12-11 16:49:50,992  New domain was found by BingPlugin: dqmsl.garena.com
[INFO] 2016-12-11 16:49:50,992  New domain was found by BingPlugin: dthero.garena.com
[INFO] 2016-12-11 16:49:50,992  New domain was found by BingPlugin: fs5.ava.garena.com
[INFO] 2016-12-11 16:49:50,993  New domain was found by BingPlugin: forum.pb.garena.com
[INFO] 2016-12-11 16:49:50,993  New domain was found by BingPlugin: redeem.thunderstrike.garena.com
[INFO] 2016-12-11 16:49:50,993  New domain was found by BingPlugin: fs4.ava.garena.com
[INFO] 2016-12-11 16:49:50,994  New domain was found by BingPlugin: engineering.garena.com
[INFO] 2016-12-11 16:49:50,994  New domain was found by BingPlugin: energy.garena.com
[INFO] 2016-12-11 16:49:50,996  New domain was found by BingPlugin: tlc.garena.com
[INFO] 2016-12-11 16:49:50,996  New domain was found by BingPlugin: buyrp.garena.com
[INFO] 2016-12-11 16:49:50,996  New domain was found by BaiduPlugin: live.garena.com
[INFO] 2016-12-11 16:49:50,996  New domain was found by BaiduPlugin: forum.poe.garena.com
[INFO] 2016-12-11 16:49:51,000  New domain was found by BaiduPlugin: thesmackdown.garena.com
[INFO] 2016-12-11 16:49:51,000  New domain was found by BaiduPlugin: gca.garena.com
[INFO] 2016-12-11 16:49:51,000  New domain was found by BaiduPlugin: cny2015.poe.garena.com
[INFO] 2016-12-11 16:49:51,002  New domain was found by BaiduPlugin: plus.garena.com
[INFO] 2016-12-11 16:49:51,002  New domain was found by BaiduPlugin: tour.hon.garena.com
[INFO] 2016-12-11 16:49:51,003  New domain was found by BaiduPlugin: about.garena.com
[INFO] 2016-12-11 16:49:51,003  New domain was found by BaiduPlugin: gplplayoffs.garena.com
[INFO] 2016-12-11 16:49:51,003  New domain was found by BaiduPlugin: forum.garena.com
[INFO] 2016-12-11 16:49:51,003  New domain was found by BaiduPlugin: carnival.garena.com
[INFO] 2016-12-11 16:49:51,003  New domain was found by BaiduPlugin: forum.sng.garena.com
[INFO] 2016-12-11 16:49:51,005  New domain was found by BaiduPlugin: welcome.ava.garena.com
[INFO] 2016-12-11 16:49:51,005  New domain was found by BaiduPlugin: fbcallback.garena.com
[INFO] 2016-12-11 16:49:51,005  New domain was found by BaiduPlugin: thhon.garena.com
[INFO] 2016-12-11 16:49:51,005  New domain was found by BaiduPlugin: esports.ava.garena.com
[INFO] 2016-12-11 16:49:51,006  New domain was found by BaiduPlugin: dominion.garena.com
[INFO] 2016-12-11 16:49:51,006  New domain was found by BaiduPlugin: sng.garena.com
[INFO] 2016-12-11 16:49:51,006  New domain was found by BaiduPlugin: iow.lol.garena.com
[INFO] 2016-12-11 16:49:51,007  New domain was found by BaiduPlugin: mshl.hon.garena.com
[INFO] 2016-12-11 16:49:51,007  New domain was found by BaiduPlugin: shop.ava.garena.com
[INFO] 2016-12-11 16:49:51,009  New domain was found by BaiduPlugin: web.garena.com
[INFO] 2016-12-11 16:49:51,009  New domain was found by BaiduPlugin: us.garena.com
[INFO] 2016-12-11 16:50:52,624  Requesting to https://www.bing.com/search?q=domain:intl.garena.com&first=1
[INFO] 2016-12-11 16:50:53,575  Requesting to https://www.bing.com/search?q=domain:kbm.fo3.garena.com&first=1
[INFO] 2016-12-11 16:50:54,421  Requesting to https://www.bing.com/search?q=domain:premium.ava.garena.com&first=1
[INFO] 2016-12-11 16:50:55,303  Requesting to https://www.bing.com/search?q=domain:forum.lol.garena.com&first=1
[INFO] 2016-12-11 16:50:56,362  Requesting to https://www.bing.com/search?q=domain:clan.intl.garena.com&first=1
[INFO] 2016-12-11 16:50:57,279  Requesting to https://www.bing.com/search?q=domain:account.garena.com&first=1
[INFO] 2016-12-11 16:50:58,265  Requesting to https://www.bing.com/search?q=domain:shop.fo3.garena.com&first=1
[INFO] 2016-12-11 16:50:59,194  Requesting to https://www.bing.com/search?q=domain:gcl.garena.com&first=1
[INFO] 2016-12-11 16:51:00,174  Requesting to https://www.bing.com/search?q=domain:www.garena.com&first=1
[INFO] 2016-12-11 16:51:01,049  Requesting to https://www.bing.com/search?q=domain:pay.garena.com&first=1
[INFO] 2016-12-11 16:51:02,042  Requesting to https://www.bing.com/search?q=domain:dailytask.lol.garena.com&first=1
[INFO] 2016-12-11 16:51:02,917  Requesting to https://www.bing.com/search?q=domain:iwcavote.garena.com&first=1
[INFO] 2016-12-11 16:51:03,930  Requesting to https://www.bing.com/search?q=domain:security.garena.com&first=1
[INFO] 2016-12-11 16:51:04,773  Requesting to https://www.bing.com/search?q=domain:hon.garena.com&first=1
[INFO] 2016-12-11 16:51:05,618  Requesting to https://www.bing.com/search?q=domain:forum.ava.garena.com&first=1
[INFO] 2016-12-11 16:51:06,505  Requesting to https://www.bing.com/search?q=domain:gcms2.garena.com&first=1
[INFO] 2016-12-11 16:51:07,500  Requesting to https://www.bing.com/search?q=domain:pb.garena.com&first=1
[INFO] 2016-12-11 16:51:08,528  Requesting to https://www.bing.com/search?q=domain:borrow.garena.com&first=1
[INFO] 2016-12-11 16:51:09,424  Requesting to https://www.bing.com/search?q=domain:design.ava.garena.com&first=1
